# mkcsvseg -o analysis_ws1/type_weight.csv -ws 1 -rf 1 rawdata/testdata_for_toor.csv
# BEGIN
# index:
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,62,62,62
# type:
# int,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,enum,enum,enum,enum
# weight:
# 0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
# min:
# 1,0,0.8755062018823605,0.9502372392959642,0.8762532567024715,1.0361016372702418,0.8893403012821646,0.9735243129889379,0.9173274656791426,0.9109553379864297,0.8030735238115445,0.8672671835615076,1.6514828230701644,1.829349823803633,1.661370590685057,1.3659952616157316,1.571327888138276,1.6252353672257216,1.473139704619995,1.2654029980638715,1.5485187941883383,1.8458110601466493,-0.5010231971864917,-0.8517453415747677,-0.6344685674395286,-0.4467117062471627,-0.34979590800591454,-0.003583065511416746,0.9962509594583621,4.99648218855414,7.996921305215006,9.996997330237852,0.9713614928068659,0.8204037040969898,1.0327598932158724,0.8991268554956502,1.0910268385302513,0.9520729126536276,1.0011466791617485,1.0685922159587868,0.9523253022164191,0.8716448725004784,0.9500631037937122,0.9328146060966878,0.6942194343477219,0.9069449095499598,0.961185827157742,0.6567815248776576,0.9347242846709156,0.8123844389862784,0.7359769050891958,0.798186606279035,1.046964384068011,1.0667678161915704,0.8846302251594838,0.8185411533670393,1.1298295525581998,0.9417402973962721,0.8630589354355827,0.899592748890613,0.9506967971950584,0.9936465387635316,,,,
# max:
# 3000,2999,2.9779167573385426,3.0245665521502234,2.935256817953684,3.0442576146495974,3.1905535748178178,3.057837452984023,3.0619412849829994,3.1183029034150604,3.408068388580708,2.982521931995014,9.38542862592044,9.121694432406052,9.086082655214842,9.106471218821344,9.389334115358462,10.059040848543209,9.12708316509946,9.339793255064768,9.309937570468891,9.175757819682303,9.465299597167096,9.458801962940624,9.200250907680056,9.51456097919992,9.328679921442973,0.10375578325785406,1.1031309831426097,5.10307225678313,8.103233299229036,10.10307111579437,3.090019618694374,2.96624294719994,2.9945579652017638,2.9970249867575385,3.2235916934714126,3.0234908791143775,3.0208859382951014,3.0240627505032136,3.0637978022579215,3.113735318149958,3.164353672752302,3.1452153232267825,3.007844098357121,3.021684138774135,3.1036728550713892,2.959374587678887,3.0313099909887846,3.2355203406322017,3.1673415986202595,3.0282634008671847,3.1148507454548797,3.2205225646852753,3.0946081325898653,3.0770017028078303,3.0173493740992674,3.0969904528465895,2.9279092475031807,3.1515119260488333,3.305825452000568,3.03813905803357,,,,
# ave:
# 1500,1499.5,2.0002523448263188,2.0010158588367566,1.9998379258156138,2.0021632388045627,1.9986830028073428,2.001238542976573,2.0080171546717183,2.0048895843170333,1.9984519366284779,1.9939480209843234,5.84720150848566,5.845711202860371,5.847652764618407,5.8458957969523775,5.850752423925415,5.841920806406127,5.843458279580737,5.839623588518056,5.845890120977209,5.844576991912229,3.7456564436596183,3.744247403633962,3.749354588489174,3.736243223435106,3.7475519219947295,0.04926669479511773,1.049320811708218,5.049273989420007,8.049273942328666,10.04927824825028,1.9874167737150188,2.0043182869023974,1.9979634185327364,1.9957850157868464,1.9980022231746337,2.006107232923189,1.9940083103719948,1.9997322804473003,1.993699819100215,2.009801307749395,1.9990612693535028,2.005106465380252,1.9957597187031824,2.007738777814517,2.003568291070935,1.9959631794035684,2.000723331418824,1.9980515933843668,1.9984843936996626,1.9934292629385921,1.9921224552976646,2.005004531506379,2.004925135347367,1.9965039287579835,2.0006843196033355,2.001868433760034,1.9973279182841899,2.0054656742981147,2.003725612208514,2.0010630124318918,,,,
# sigma:
# ,866.0253556719148,0.29655104327229026,0.304415694360097,0.3007213504481427,0.29540071007282953,0.3009907090560314,0.2924976517083891,0.30722584349402304,0.30177543664985035,0.3004991832717802,0.3027872080567362,1.4505642299769008,1.4504948257289385,1.448317992848195,1.440483368897568,1.457459840472499,1.4464339946655116,1.4568399837124288,1.4571198360320443,1.4478270423235264,1.4500357280600746,1.8247369824119068,1.8284166703394398,1.8262779368069273,1.8247275261999283,1.826835849596746,0.04127805674384681,0.04127440894688163,0.04128064959834068,0.04127914018329665,0.04127140327425254,0.29625375320158676,0.29700393135977127,0.29827470062069844,0.3028297101121169,0.303365430337206,0.2970455568148443,0.30033668149935905,0.2984239423700513,0.29918280304904343,0.29651754325179963,0.30291872856549706,0.3047972475012918,0.2951339329882007,0.28955264397036035,0.2954378962044769,0.2989603824466933,0.29823415411874943,0.3036116572112056,0.29971878322028944,0.2977292768134348,0.30446691205834153,0.3033221998793784,0.30648648316824284,0.2967144516524736,0.2928272484989267,0.29260926316626673,0.300742805667165,0.3047814540875611,0.30135270336459347,0.30112007950182507,,,,
# name:
# DataRecordNo,id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,label|abnormal1,label|abnormal2,label|normal,label|warm-up
# END
1,0,2.4921765975593506,1.5788151017985963,2.4749609818013836,1.7276882711015982,1.9200241710746904,2.2279081662254714,2.4360544613063793,1.9301527105613696,2.07626793050322,1.8245417931981607,1.914794259980991,1.829349823803633,1.8692987371227823,2.523305574005138,2.1441296604219544,2.1532441749897053,2.107990658466924,1.7240621609633937,2.0937670981082253,2.2036099300648875,2.112914966715039,1.7829200593759675,1.999346147573612,2.140666337010993,1.7298690042666258,0.05035922986776015,1.05006567546904,5.051307802212793,8.049406629414301,10.051168273448887,2.0439603812677825,1.8780757036164382,2.342928368173122,1.8816620901227672,1.8121443236662789,2.0856290889237266,1.912475105970271,1.6711354078418057,2.231761264587099,2.210646475057205,2.2171403842715085,2.21845264405642,1.9204199440872052,1.567311617387038,1.6830406805792806,1.881370266814138,1.6695330793697272,2.0357741932798916,2.1244646193217207,2.115717765152956,1.7985655375110143,1.9432397250381965,2.086204852885099,2.0624993249641568,2.471271789862457,2.047155054597396,2.2885682231696007,2.707939563515179,2.1946577431845924,1.762847397377585,,,,1
2,1,2.0113370366305885,1.9442971302414458,1.7532818491489017,2.44664453892944,2.0818949161357456,1.3620059136575855,1.8494220613028403,2.1111070710183313,2.192743230503163,1.5072158877498327,1.9432495853556153,2.0294177057770084,2.046022368820615,2.1662738213635166,1.7520631727257534,1.814848759914336,1.7935919284944328,1.5553710127098221,2.747804190356178,1.9339594034587901,0.5854793369513314,-0.2334294073113774,0.2074770950213301,-0.16108431070531254,0.215545356951149,0.0507917592122555,1.0495240214814883,5.049208857248303,8.04989923770012,10.048424313803345,2.2726551899589533,1.9538692730891483,2.13394658625018,2.1087565537668813,2.0500877859333007,2.2294738513652237,1.6441250638189275,1.984391230892087,2.2508295507698897,1.3312311620731019,2.2506739948159833,2.1655384808406284,2.137399280605112,1.8109246777404102,1.5472522589150555,2.1040584290243887,1.9407283973868663,1.7266009332646806,1.8125362518747123,2.65000171233398,2.0356085855309822,1.9545174129564051,2.1384817508431775,1.8490234662394518,1.5985700166414487,1.9615267598027062,1.8869411879329732,2.3895120171715445,1.6425933316830963,1.8857073206925588,,,,1
3,2,2.092792792614586,2.315454293588842,2.1589531106513404,2.1220351336109515,1.989699527526972,1.524413684642655,1.723423985864264,2.149746054366371,2.405195144540714,1.7550684971984372,2.15781126946204,2.0003332985059012,1.7178096340513496,1.3659952616157316,2.0572017217203906,2.3824005416839387,1.8421363808894764,1.7543834892873176,1.8857544641274497,2.1215055381199424,0.06334638186762413,-0.607611609096735,0.053410467604694235,0.2704653817210612,-0.34979590800591454,-0.0014986853832076022,0.999262192583947,5.001796780193577,7.998774945898793,10.000134941187614,2.1081567737654856,2.2848942888553,2.0726819808345973,2.6087219471921594,2.195047653685753,2.642750613720243,2.0272130845364904,2.122042030629377,2.146107524728417,2.244381549588034,2.283475668814752,2.3653337506968826,1.7259930929977956,1.2915433304023203,1.5176099350524161,1.6381962496514149,1.7186439098846498,1.9987736094047295,1.8084539642282678,2.4892556122138543,1.995782429138025,2.3767796918284394,1.8464744486314444,2.207381972399211,2.0536238610978623,1.6145155888521832,2.076952962899944,2.0786204723060804,2.685809908141212,2.6603964700347262,,,,1
4,3,1.95878345552258,2.196037641982977,2.0371390704890686,1.8314702083375618,1.7005031439892744,1.8977630179283878,2.2872717201825905,1.5867781442345001,2.2076842736782556,1.5787888330837987,1.7140541700827874,2.1587510134780885,1.8531515039984743,2.058983939652612,1.571327888138276,1.9446229836196218,2.293822824148908,1.2654029980638715,1.9247675504707915,2.0208973745233894,0.11930096938581838,0.6244338707671985,0.36634631122572614,0.20667150371927676,0.489254761156866,0.051656209884405016,1.0481118818563122,5.049861118058231,8.047940592118572,10.051023570791326,2.373626335011275,1.961844233202034,1.875110250914076,2.7094004876563718,1.875716032419008,1.9201499405717717,2.4194696586740125,2.633226880981754,1.7533608880292613,2.341367054582683,2.1481048624432115,2.2158058725331573,1.5556831985572264,2.2168269081446925,2.1927996490251727,2.279708559109189,1.3348448892197844,2.033082492325966,1.8240309350368369,2.0651947542467752,1.9401239044693264,2.485556783572017,1.680539071983422,1.5300660756433535,1.623779961411481,2.1180147701756287,2.2758417533938435,2.022293201230944,2.291205994730689,1.9845285987736723,,,,1
5,4,2.4894321966892448,1.5876222631647625,1.7197028733222581,1.992842588566246,1.7571373526754843,1.990861787638858,1.8559148069401032,2.0032705487705966,1.6076658086950943,2.1857303987821486,2.112847823687394,2.2914717527336017,2.093674203013978,1.8597632005160611,1.622894441639915,1.7891873125583584,1.8296506441898102,1.9846399172514442,1.9924262031421842,2.0811238096133424,0.4738476761186827,0.39298545463227963,-0.5792449362990654,-0.4213953793450732,-0.2974963405833138,0.050397544561300155,1.0511258862635775,5.04932773093249,8.04848278876243,10.049886012158131,1.9574848779209708,2.063373681667192,1.9381000867581388,2.5678128929251063,1.92304507447943,2.4460272578981326,2.0078682616777783,1.6554221001272404,2.0667380862204876,1.947882714977233,1.9933820845081767,2.1713233452904483,1.7810097254720763,1.4959790118364507,2.2627380015425467,1.4697363443364786,2.268364276915973,2.646616822374206,1.6826826359091935,2.7795076656333326,2.1387065972451236,1.4678486969819653,2.175750731180341,2.3996662796280375,2.3712028367948657,1.9379236642076163,2.5919394315208444,1.9091349908789574,2.250155443952205,1.7312724244028537,,,,1
6,5,1.6196772912473696,2.214459397044944,2.4779920703310676,2.0921732507705895,1.8311303597312467,1.7524204089370738,1.655603370104247,1.7897003968842693,2.0857861464116247,1.7961509916883918,1.6514828230701644,2.306968651804306,2.2189191194526807,1.8610573320113912,1.8884304650557373,1.888398578918491,2.080876583497876,2.2350832563611416,1.886475301433644,2.2154954986175563,0.08387900455672434,-0.19649253160401828,0.04455315593142719,-0.1451588499795935,0.1812313472296028,-0.0007299819814622981,1.0008126165608513,5.00012161551886,8.001381251722174,9.998235471271421,2.4521726088863685,1.6177795971296642,2.0364361915182267,2.5124738989158875,1.8013168622090976,2.135648139786299,1.831146536460133,2.3361110026166556,2.2759222825965923,1.6933973338566612,1.9802671981025664,1.8289456217126228,1.6905655885245678,1.6510036523299527,1.8594398971615373,1.9935509178472899,1.7098132365436292,2.503710279310304,2.1479271954391947,2.1346325524483727,1.9640711618305748,2.352323787249602,2.3345483813486165,2.1434430067266574,1.7710142786808243,1.5597830507555752,1.9394875847653799,1.9670675502814094,1.9690399043754256,2.211149001459272,,,,1
7,6,2.3300293030757624,1.9080819450806137,2.0568421131242043,1.789625981286272,2.127152335161392,1.7259715769862103,2.0005473473187174,2.2315180129402,2.0026405678975157,2.4879749753045677,2.0518518329390685,1.9157211191223587,2.222010037827925,2.3895936430322187,2.3132847335887705,2.3580140456157843,1.62854743699392,2.0525342440500607,2.0133262857583705,2.015816390871232,0.22909062547260037,-0.8517453415747677,-0.11705961600357462,0.03815697157494748,0.4523750254176495,0.09961320834851543,1.1007915422748202,5.099203408459092,8.101709945691914,10.100370123048078,2.3278797847842947,1.8467728525826446,1.8607779946151315,1.8482738375336527,1.8963971002016733,1.4638809824624546,1.7462310102216358,1.971243841842219,2.4175603567014807,1.8487552250179564,1.88248679249113,1.779485316240667,2.2057326601224503,2.0585154591425283,2.23313675358317,2.6471416688428513,1.8303850184508013,1.7673124020903932,2.0246417837303325,2.2592354776098382,2.159554704695933,2.2521137668889217,2.124365768124239,1.8004017550217917,1.7967429171668086,2.4481188029292396,1.6796640481536473,2.297940653929595,1.8139951051202152,1.6670135891292042,,,,1
8,7,2.117334119407233,2.6536937090423254,1.7290273647796095,2.1321351927579166,1.7958582275062185,1.660108509755053,1.9196200623363633,2.2487552231182555,1.9811552901089033,2.3683389921288964,2.0088289266538832,1.9272583193382236,1.8832860518829324,2.4239668470177556,2.247832646470393,2.128345307323109,1.6420314843175177,1.7076603280919889,1.5485187941883383,1.9998990003512043,-0.2002778712759289,0.0775501703149917,-0.6344685674395286,0.33130504534571326,-0.04019393609433519,0.09987154548955346,1.0996571091412866,5.0992298953088415,8.100099116343493,10.099561570838334,1.9462550886032446,1.852753923202248,1.840120048823901,2.346727571022733,1.9523138891812024,2.5366604674018123,2.0910113694855172,1.4036184277396195,1.8738369582488166,1.9977030474781097,2.167356840668942,1.9801998269194925,2.4030202244990866,2.3812480640013076,1.5167149683146905,2.4239348109340297,2.2760293633777335,1.7719944439579751,2.302526324200081,2.246174323830347,1.9496361081478064,1.50279808827771,1.8504000652284496,2.24644134675813,1.686330216629691,1.5530730527785543,2.4909788497584016,2.1973694758722053,1.9726742218340714,1.7381090643872532,,,,1
9,8,1.5143889020564827,2.4771036574186676,2.185277595929519,1.7708087282749485,2.0677401329218954,1.786793106651325,1.8892580826388008,2.0210356909742897,1.4724481028306913,2.0323638717043253,1.8854897318978405,1.978264162820013,1.7954050663084078,2.1585166863189893,1.9508436956527282,2.163758361196551,2.399801075999781,1.8422902065076414,1.870601508937426,2.1360310627664614,0.3173879951174904,0.167410861398826,0.11227147926687897,-0.12905746671855997,0.23777552870435117,0.09931054780453753,1.0999691650449155,5.100089634558334,8.100880513923315,10.10278274769003,1.8184677835868643,2.2456405817329754,1.8929411270104866,1.5369870848715184,1.4147204217414346,1.998442462346203,1.5759567785504147,2.012582929930597,2.249869863565366,2.041962666413975,2.0155927330561028,2.1297050006753815,1.5818909646613715,1.8397780312125958,2.479277188237088,1.6001236122255502,1.6738063195687325,1.528758092591751,1.090671666411518,2.0921508980057797,2.2035669591961677,2.6929780189321555,3.056140872337642,2.4831357992468384,2.3508199700574717,2.3927536873293747,2.32336811518443,1.9653506428738983,1.1717521662950137,2.090206722518586,,,,1
10,9,1.8994888919614747,1.9340293955505876,1.3896917866446528,2.276598168932721,2.080889505156736,2.215179075074673,1.4560568711699733,2.186910354271869,2.2902493365723653,1.6836950374248507,2.3616082797255284,3.017396500289112,2.1513975312331652,2.3348516375592054,2.403759046404671,2.2642346954102073,1.473139704619995,1.694025871188959,1.9699430899620087,2.6114813762563207,0.39234888330907086,0.42317344845534993,0.25796095713427347,0.3497392180232796,0.3606346349832413,0.09908185996609346,1.0987692621695393,5.099016234639212,8.100122687655936,10.101031424717439,1.8901786096950113,1.8232158851963725,2.0398873252024896,2.001233612473714,1.9873726014632935,1.9398788646859646,1.870276010320673,2.1144202337580764,2.024904886483752,2.0555893414593815,1.5800736255588792,2.2008676486782663,1.9729465047032866,1.758159386401125,2.5286493666205034,2.1620849676416336,2.173159727445584,1.7156649785924498,2.1061174490026535,2.3301262832498972,2.12804461082049,1.9383012932161592,1.7424379337146276,2.605975600341145,1.5848838224536324,1.9449245702262064,2.198224746110312,1.7782007257893162,1.9831405500129227,1.9954794535292604,,,,1
