# mkcsvseg -o analysis_ws600/type_weight.csv -ws 600 -rf 1 rawdata/testdata_for_toor.csv
# BEGIN
# index:
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,62,62,62
# type:
# int,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,enum,enum,enum,enum
# weight:
# 0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
# min:
# 1,300,1.9863767611386898,1.9776385948955038,1.9730839114977379,1.9771727985122682,1.9773052203722203,1.983172617180167,1.988346240375659,1.9808013673405567,1.980996071419863,1.9690050666749948,3.9837711405470344,3.968259383554674,3.974232505462337,4.00027486896136,3.9754689104714727,3.986757623824037,3.988929095273727,3.944465156661904,3.982292264743484,3.9674869506686052,1.9840189910143258,1.9842944907604567,1.9784525874300742,1.983806262236864,1.97634958698711,0.04586944358596891,1.0459033842909533,5.045801362438818,8.045845056165847,10.045785734658585,1.9643345601116107,1.9915935284615172,1.9773603037552367,1.9745964415747173,1.9800771087538471,1.974959263108035,1.9631583092538127,1.972240483472109,1.977600152362752,1.9924749441508522,1.9672122097323574,1.980721109660573,1.974320644332375,1.9895839015871706,1.9791175505734555,1.9714246630175516,1.988892974546845,1.9794486212296045,1.9726717363549664,1.9712520306838526,1.9687917929378067,1.9775626900460286,1.9781111398184408,1.9770664230752863,1.9829469954963777,1.9910098015785282,1.9794629174316818,1.9781806227207281,1.985356848063977,1.9896110960153166,,,,
# max:
# 3000,2700,2.0153648294594797,2.0259052779520226,2.027571652171751,2.029638541915467,2.0316207623112295,2.0237463913327125,2.0218317357883975,2.0334434788771385,2.0133266963803447,2.020645551038129,6.998915909327326,7.003151165306369,6.988838687093226,7.001710316649063,7.009578277704692,6.994093223011952,7.007794551726996,7.001338569557986,6.997482040605166,7.009598702047641,5.992576890842672,6.005622342026759,6.014483535087395,5.993835452849104,6.01318914559633,0.05132201045586229,1.0513619330868427,5.051326734177606,8.051321707424556,10.051343382954766,2.0046698474314453,2.022510352227108,2.022551912949011,2.0245338355875897,2.0220031291242555,2.039599857979658,2.0096517870575856,2.023103113947227,2.018419951483908,2.025875397863296,2.0203527212352466,2.030788991711132,2.0171404277451668,2.030767885213393,2.035636256618543,2.018449309879997,2.0185547077484354,2.0307818284344568,2.0255066247634366,2.020567919826786,2.015632851774258,2.033279487046593,2.0305397704003116,2.0169947682540754,2.0190361996285278,2.019862512611068,2.021003221690571,2.022678877426069,2.021597068775452,2.0206574701849673,,,,
# ave:
# 1500,1499.9997918401332,2.0005371335871045,1.999570093421308,2.0006379320646457,1.9992439715980648,2.001541660354841,2.004789675647441,2.005731719131804,2.009792693096559,1.9970853628548009,1.9971702872785253,5.962161912212993,5.959380279996299,5.961962905659453,5.955498051488362,5.96365347835179,5.954828147727516,5.956526493285319,5.95502941433259,5.959565176704326,5.958375757063608,3.648153509809448,3.644222132953131,3.6486427501288445,3.6338535924071778,3.6473357942543254,0.049388811572282636,1.049453143191774,5.049398717267134,8.04939992025125,10.049417103998918,1.986569467124486,2.005892737493836,2.00046954449903,1.9950516189434335,1.9993969253943085,2.005115292293315,1.992321202984235,1.9949206367718224,1.9942925198270938,2.009298759194034,1.9942049635811339,2.0037469868936784,1.997385418317544,2.010280416016977,2.004151075015156,1.9948862052660317,2.004611611843885,1.9963781108723824,1.9987462942021115,1.994015955697459,1.9924198243425644,2.008239505702907,2.003084409253249,1.9956262619380485,2.001337040725915,2.0024377208994797,1.9994306677828664,2.0031593984152924,2.003010403384468,2.0029078954555746,,,,
# sigma:
# ,693.397252887691,0.006154496758579268,0.011011056145610714,0.014483655424794132,0.011039204246147615,0.012582236603008685,0.009000062712369592,0.007173149942899507,0.010535728381647598,0.006333351143492907,0.012392096125743409,0.7927562457660411,0.8032076698669766,0.7891346698092211,0.7990898004404182,0.7967798062156285,0.7914187791886663,0.8025865608613634,0.8042956823333363,0.7974444439871632,0.8066293739363617,0.7312628695911668,0.7296910834786625,0.7332828820080273,0.725466006938508,0.7310774460970951,0.001107596677802448,0.0011195359952526395,0.0011282988926472927,0.0011179212769898128,0.0011361678727931025,0.00937022024954191,0.006381110565020732,0.00965377119892322,0.013415337406770679,0.009052723737481437,0.014022751088584733,0.012218299971614341,0.010527488594445458,0.007483097654080006,0.006786395059742622,0.010687970739520174,0.01203382349008656,0.009164560256043916,0.008271904231746306,0.012717926044069483,0.011184547599510613,0.0061235919247155084,0.012331556682898773,0.012515160294997963,0.01112885711075868,0.00978123125869836,0.014431682264318567,0.011121487334781448,0.008031105994976945,0.008756260456615823,0.004917819777889438,0.007881205195654816,0.01253431090627117,0.008645149057281993,0.006703875938876681,,,,
# name:
# DataRecordNo,id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,label|abnormal1,label|abnormal2,label|normal,label|warm-up
# END
1,300,1.9908958309680065,2.0001852639092395,2.011029370690416,2.0065626936819894,1.9906332587662823,1.993429336705298,2.006123259647234,1.995472171583112,1.998354096728743,1.982163518892261,3.9837711405470344,3.968259383554674,3.974232505462337,4.00027486896136,3.9754689104714727,3.986757623824037,3.988929095273727,3.944465156661904,3.982292264743484,3.9674869506686052,1.9840498480274156,1.9842944907604567,1.9787977257256306,1.984163298001821,1.97634958698711,0.04660477595899782,1.0466547157313861,5.046569293002131,8.046639940072591,10.046555563672635,1.9850082043198873,2.0028766232868715,2.0021422526855432,2.00329584074942,1.9956055119861613,2.0089269131418424,2.000307903331507,2.019394363117284,1.9969277545231185,1.9974947238283516,2.019380060056154,2.002276109301696,1.992908444205682,1.990505926046293,2.0084777502815854,1.9878605420672602,2.0010370837913323,2.0186100368180138,1.9968533250107348,1.9930485094884345,1.988396567997906,1.9897850713616487,2.011693106781012,1.9857177096408387,1.9904043745265665,1.9945782519196285,1.9933233719029275,2.0198929410089126,2.0166686290783367,1.9930465740576422,0,0,0,1
2,301,1.9899278685687314,2.001523700449242,2.0100716821076654,2.007276173062441,1.9918008388283506,1.9923741727024222,2.005356235588676,1.9964252547034784,1.9977265786122875,1.9826155553505094,3.9871223407366037,3.971447722765686,3.976832355114059,4.0027098984567635,3.9791539619558445,3.9888662432388937,3.9923954783279534,3.948993290235882,3.985494999179654,3.9703516617012777,1.9840189910143258,1.9849393553928962,1.9784525874300742,1.983806262236864,1.9766248308427563,0.04668845804641195,1.0467373801335975,5.046651051089786,8.046725199313329,10.046637935852424,1.9854921350171402,2.002752019333098,2.0013148164792636,2.0030750130614856,1.9955322031522875,2.008783101242535,2.00004496710323,2.0195878926054047,1.997062323745572,1.9974061533006902,2.019280208173985,2.001552164056647,1.9931205645964276,1.9912373542179793,2.0090692936413417,1.9882535080176862,2.0017212188713707,2.01803670724724,1.9962863374520747,1.9919223729687,1.9889834240161888,1.9908208581414484,2.011950052662407,1.9854866980640786,1.9893472713422178,1.9946852558646029,1.9932738458783228,2.0187806299218467,2.016150571000305,1.9940840983923307,0,0,0,1
3,302,1.989583049976764,2.0023102768435743,2.01025637147446,2.0065957714804763,1.9913215891110485,1.994063007999458,2.0056793389890775,1.9974623386441048,1.9963688448238222,1.983949351636785,3.9892929971931017,3.9751508141120424,3.9807255997570543,4.006183845615709,3.982565968827599,3.9927677268859405,3.9960139097073806,3.952412346276277,3.988041934130289,3.973832861183533,1.9863918429425038,1.9885515537645677,1.9817603588960955,1.9873695745246085,1.979704145316058,0.046605791872561995,1.0466562246016407,5.046567405927281,8.046640530253333,10.046557344218849,1.9853851423990705,2.0023979075998,2.000367290338273,2.0032282076943106,1.9953715818951305,2.008272783099634,2.0006090529193954,2.0200539064842444,1.9963041716456194,1.999236903181343,2.0191811897634313,2.0009817091626103,1.993575362052446,1.9924483059988005,2.009777560688482,1.9884211782703252,2.002426910987521,2.019113760867329,1.9957145103827316,1.9902266966687114,1.9885568635325608,1.990154349429597,2.011078586186664,1.9857699118800574,1.99097811461847,1.9943549247870154,1.9933891284176537,2.018264175526627,2.016182280546399,1.9939422512736291,0,0,1,1
4,303,1.9895205366108015,2.0015659066862503,2.0104397908789866,2.00642795139619,1.9918764565112046,1.9945925033977456,2.0059111620578984,1.9980184756832482,1.9947474637511455,1.98417901836366,3.993516134807093,3.979339988581893,3.9836961468780676,4.010807972468933,3.9858307496489274,3.9948710271337777,3.998357951468843,3.955899170366553,3.991553744268074,3.9763223892314863,1.9902992563835336,1.9933357155790978,1.9844071769216503,1.9893973962082054,1.9839499737881776,0.04660724883492433,1.0466539592673716,5.046562392461168,8.046644740091846,10.046558581128354,1.9845547975184141,2.0025536331911136,2.0006558682251034,2.0018820519431646,1.995441310404395,2.006892421881571,2.000963266910727,2.0193175072947986,1.9958499247479278,1.999141145281236,2.0189523248195704,2.0006732062737926,1.9926878023679155,1.9938091785875816,2.011150571709001,1.988893409262541,2.002903610650117,2.0183967356180235,1.9962272835909227,1.9891908502712814,1.988768330280152,1.9909747880543045,2.011364618337458,1.9862185173557176,1.9912857929943906,1.995245984033988,1.9932591238414583,2.018460156241266,2.0157463513052525,1.9928187181337773,0,0,1,1
5,304,1.989428301570947,2.0014778592977107,2.010342637898373,2.0070759120773007,1.9922243437632967,1.994856044606917,2.005258079715507,1.9992286927245637,1.9943615536981838,1.9849583710741023,3.9975061620592722,3.9818303191505477,3.986880128349957,4.013555391109534,3.989013904630619,3.997458337776054,4.00148468306475,3.9608357905100404,3.994607676513947,3.978971530009655,1.9932320346237065,1.9952231410730386,1.9872526137347435,1.9913774117635121,1.9866516325929078,0.046522734483201045,1.0465726624199292,5.046479937319245,8.04656531337613,10.046471757413586,1.9849487353206512,2.002433335375292,2.00170259019277,2.001257876972164,1.9960396185605127,2.006804895983099,2.0013181422392594,2.0185518506461033,1.9963147300052348,1.9989784485414548,2.018356285289577,1.999802126794802,1.9935162408690486,1.992984908792904,2.0102617357830734,1.9891981843625302,2.0051772270875907,2.0178155213494957,1.9958941498387375,1.9897430728005046,1.9877814855413267,1.9896446925584068,2.011898815573817,1.9866404627307925,1.9922841423156104,1.9952246044135222,1.993231154169572,2.018534778597477,2.013939075852839,1.9935024171085869,0,0,1,1
6,305,1.9885006652668857,2.001957464757084,2.0106507881808526,2.007226635783529,1.9920923215431787,1.9949419492233311,2.0052774777637326,1.998959479352214,1.9944107007304115,1.984822970159963,4.0008668842960216,3.9846513067648335,3.990015843097128,4.016728391560672,3.9934537522983677,4.000530613815567,4.00440454368427,3.96428395406641,3.998842044685547,3.982343094193426,1.9958370177506808,1.997984626324826,1.991725955859595,1.9951625621168403,1.9908175993668642,0.04660713948579074,1.0466515737462139,5.046564917737405,8.04665092731612,10.04655370143512,1.9850265631509512,2.003122577075924,2.002172707290215,2.0000002626858953,1.9958945102031749,2.004773632654147,2.0013876134173305,2.0190987076133347,1.9961061190265135,1.999447511982757,2.0180863572271917,1.9994295872143835,1.993288871592393,1.9936687157798882,2.0099002105123214,1.9895271559074577,2.0048580568654693,2.016924757552131,1.9967930541758334,1.988568033616178,1.9878521434455214,1.9908594442143612,2.0115887044828504,1.9873016740998468,1.9914954878899525,1.9954605189456018,1.9913887744827017,2.019126757688604,2.0124720001878615,1.9937447317430905,0,0,1,1
7,306,1.9890522556678771,2.001557662193514,2.0103045380564946,2.007025629379948,1.9918119366334406,1.9953919443042105,2.0048607389492137,1.999938063276104,1.994596474385346,1.9851611338588653,4.004083537050732,3.986916172314402,3.9926858651491215,4.02059394706179,3.997312985367464,4.0039747183091015,4.007142529469019,3.9676846806093478,4.0014332378413195,3.9853821429127847,1.9988349436442,2.0016243658794677,1.995892298147544,1.998066919819502,1.9937022666214401,0.046775382683585914,1.0468143589651018,5.046725620500144,8.04681344177925,10.046722983716668,1.9839224670068327,2.003580747992843,2.0020578578936483,1.999908758456957,1.9963408815242387,2.0045374779564633,2.001157390928608,2.019416011657182,1.99517655689694,2.000856053454448,2.0181237636408804,1.9994925998100535,1.9948755630300843,1.9944347487477405,2.010474343742504,1.988437260962811,2.005116632346756,2.016375317297764,1.9966199751917904,1.98849526928063,1.9869936993548003,1.9901315733748337,2.0112354762178195,1.9871139080640323,1.9917591706351743,1.9965661594711848,1.991463445415983,2.0190807360300496,2.0135657323256746,1.9935439062689817,0,0,1,1
8,307,1.9892358984633058,2.00185382320393,2.0095172420729375,2.0068944905347945,1.9919658338885233,1.9956966447769993,2.004124532444082,2.000091041707442,1.9947282044773396,1.9840231886643798,4.0069339941892,3.990393046605618,3.994649003192134,4.023226104469221,4.000017803199016,4.006630042354302,4.011020787772711,3.9716207493368674,4.004499152882016,3.9893556466137126,2.0016841235680767,2.006758979982332,1.9995033218379457,2.0018279633607112,1.996919846352775,0.04669352710437162,1.0467316515215668,5.046641914360527,8.046727709643346,10.046638996137016,1.9843786821943843,2.003383558903466,2.001583114678762,2.00048020309804,1.9965951081410624,2.006298194716647,2.001074485156348,2.0194749285356592,1.9939902498040567,2.0005210894784073,2.018854220853583,2.000649991911299,1.9944728950539579,1.9948941603088914,2.0097726690784374,1.987948869223355,2.0053714499042044,2.0169456917947857,1.9969817128910194,1.9885345038626319,1.9871185994211111,1.9888552874896084,2.010530746256045,1.987849944353478,1.9922762486780705,1.9957363812690478,1.9922932001362559,2.0191585369655276,2.0139610462431894,1.994227017363996,0,0,1,1
9,308,1.9885620125448809,1.99957845402434,2.0101264371054373,2.0058923394147015,1.9925719889861129,1.9969638994472447,2.003655220585544,2.000275310577009,1.9944983735911717,1.984046456520945,4.010195035889037,3.9941147793088194,3.998555198036129,4.025223454771438,4.00404968767671,4.009106570312746,4.015233159816764,3.9754414504308304,4.008678957386272,3.9921049639071864,2.005133194224217,2.0094322067415558,2.003456045006685,2.0045455046333016,1.9994445771897496,0.046525980522312466,1.0465679917668222,5.046478231003689,8.046559765235088,10.04647512116204,1.9846283683623975,2.0045470274960384,2.001692603747635,1.9993464168846917,1.9969942227256396,2.0049050626205416,2.0008733238025553,2.020227835283146,1.994014093274064,2.0000949403069237,2.017387846270055,2.001445480921509,1.9933772640684686,1.9947267532072275,2.0100469240293424,1.986730041144549,2.0054575808841286,2.017323970932456,1.9962882518657916,1.9872718224168542,1.987311203411493,1.990068953969168,2.01161863718473,1.9880112332371451,1.99218659767629,1.9963636645469875,1.991904807853333,2.0192014624387835,2.013364752371104,1.9944628861746134,0,0,1,1
10,309,1.989272837815561,1.9986495358216745,2.0101252087764987,2.006235797337582,1.992549739139555,1.997639828816411,2.0032136055783236,1.9997719705721007,1.996141121834726,1.9840976609026184,4.014470602884257,3.9976510962787772,4.000957527289114,4.0286905863320985,4.007358799076121,4.012050091492743,4.017369231558823,3.9787583445512085,4.012247097138504,3.995008857777193,2.0074199804528963,2.011854125743582,2.006020347073736,2.008354854744823,2.002677136154744,0.04636091851038564,1.0464019283136572,5.046311351031847,8.046391654796174,10.046299415812634,1.9843027965159263,2.0042758058522168,2.0019969650897416,2.000229200564267,1.9972294254660543,2.0050971341315384,2.001559857601717,2.019680637918055,1.9929682253848242,2.000121187012865,2.018246027930785,2.0018269896169585,1.993927013186039,1.9953138514882112,2.0085235757210844,1.9875427734163842,2.005481724082897,2.0168220329956843,1.9981639784330498,1.986676706562561,1.9880554482785564,1.988834871031946,2.009611330077162,1.9880149804353728,1.9921967651212678,1.9963319946557787,1.9908677653616378,2.0198783928052886,2.014698818297559,1.9939434702430723,0,0,1,1
